iter	Passed	Remaining
414	3125	4405
415	3131	4395
416	3137	4386
417	3143	4376
418	3149	4367
419	3157	4359
420	3163	4351
421	3170	4342
422	3177	4333
423	3183	4325
424	3189	4315
425	3195	4306
426	3203	4298
427	3209	4289
428	3215	4280
429	3222	4271
430	3228	4262
431	3235	4254
432	3241	4244
433	3248	4236
434	3254	4226
435	3260	4217
436	3266	4208
437	3273	4199
438	3278	4190
439	3285	4181
440	3291	4172
441	3297	4162
442	3303	4153
443	3310	4144
444	3317	4137
445	3323	4128
446	3330	4120
447	3336	4110
448	3342	4102
449	3350	4094
450	3356	4086
451	3363	4078
452	3370	4069
453	3376	4060
454	3383	4052
455	3389	4043
456	3395	4034
457	3401	4025
458	3407	4016
459	3414	4008
460	3420	3999
461	3427	3991
462	3434	3983
463	3440	3974
464	3448	3967
465	3454	3958
466	3462	3951
467	3469	3943
468	3475	3935
469	3482	3926
470	3488	3917
471	3495	3909
472	3501	3900
473	3507	3892
474	3514	3884
475	3521	3876
476	3528	3868
477	3534	3859
478	3540	3851
479	3547	3842
480	3553	3834
481	3560	3826
482	3566	3817
483	3573	3809
484	3580	3802
485	3586	3793
486	3594	3786
487	3600	3777
488	3607	3770
489	3613	3761
490	3619	3752
491	3627	3745
492	3633	3736
493	3639	3728
494	3647	3720
495	3653	3712
496	3660	3704
497	3666	3696
498	3674	3688
499	3680	3680
500	3686	3671
501	3694	3664
502	3699	3655
503	3707	3648
504	3713	3639
505	3719	3631
506	3726	3623
507	3732	3615
508	3739	3607
509	3746	3599
510	3752	3590
511	3759	3582
512	3765	3574
513	3772	3567
514	3778	3558
515	3784	3550
516	3791	3541
517	3797	3533
518	3803	3525
519	3810	3517
520	3816	3508
521	3822	3500
522	3829	3492
523	3836	3485
524	3842	3476
525	3848	3468
526	3855	3460
527	3861	3452
528	3868	3444
529	3874	3436
530	3880	3427
531	3887	3420
532	3894	3412
533	3900	3403
534	3906	3395
535	3912	3387
536	3919	3379
537	3925	3371
538	3932	3363
539	3939	3356
540	3945	3347
541	3952	3340
542	3960	3333
543	3968	3326
544	3974	3317
545	3981	3310
546	3988	3303
547	3994	3294
548	4001	3287
549	4008	3279
550	4015	3271
551	4021	3263
552	4027	3255
553	4034	3248
554	4040	3239
555	4046	3231
556	4054	3224
557	4060	3216
558	4067	3208
559	4073	3200
560	4080	3193
561	4087	3185
562	4094	3177
563	4102	3171
564	4112	3165
565	4122	3160
566	4131	3154
567	4139	3148
568	4147	3141
569	4155	3134
570	4163	3128
571	4170	3120
572	4178	3114
573	4185	3106
574	4193	3099
575	4200	3091
576	4207	3084
577	4214	3077
578	4223	3070
579	4231	3064
580	4239	3057
581	4246	3050
582	4254	3043
583	4261	3035
584	4268	3028
585	4276	3021
586	4283	3013
587	4291	3006
588	4297	2999
589	4306	2992
590	4313	2985
591	4330	2984
592	4337	2977
593	4344	2969
594	4351	2961
595	4358	2954
596	4365	2946
597	4373	2939
598	4379	2931
599	4387	2925
600	4394	2917
601	4401	2909
602	4408	2902
603	4414	2894
604	4421	2886
605	4428	2879
606	4435	2871
607	4442	2864
608	4448	2856
609	4456	2849
610	4463	2841
611	4470	2834
612	4477	2826
613	4484	2819
614	4490	2811
615	4497	2803
616	4504	2796
617	4510	2788
618	4518	2780
619	4524	2772
620	4530	2764
621	4537	2757
622	4544	2749
623	4551	2742
624	4557	2734
625	4564	2727
626	4571	2719
627	4577	2711
628	4584	2704
629	4590	2695
630	4597	2688
631	4603	2680
632	4610	2672
633	4617	2665
634	4623	2657
635	4630	2650
636	4636	2642
637	4642	2634
638	4650	2627
639	4656	2619
640	4664	2612
641	4670	2604
642	4676	2596
643	4683	2589
644	4689	2581
645	4696	2573
646	4703	2566
647	4709	2558
648	4715	2550
649	4721	2542
650	4728	2535
651	4734	2527
652	4741	2519
653	4748	2512
654	4755	2504
655	4762	2497
656	4768	2489
657	4774	2481
658	4780	2473
659	4787	2466
660	4794	2458
661	4800	2451
662	4806	2443
663	4813	2435
664	4820	2428
665	4827	2420
666	4833	2413
667	4840	2405
668	4846	2397
669	4853	2390
670	4860	2382
671	4866	2375
672	4872	2367
673	4879	2359
674	4885	2352
675	4892	2344
676	4898	2337
677	4904	2329
678	4911	2321
679	4917	2314
680	4923	2306
681	4930	2299
682	4937	2291
683	4944	2284
684	4950	2276
685	4957	2269
686	4964	2261
687	4971	2254
688	4977	2246
689	4984	2239
690	4991	2232
691	4997	2224
692	5004	2217
693	5011	2209
694	5017	2202
695	5024	2194
696	5031	2187
697	5037	2179
698	5043	2171
699	5049	2164
700	5056	2156
701	5062	2149
702	5069	2141
703	5076	2134
704	5083	2127
705	5089	2119
706	5095	2111
707	5103	2104
708	5110	2097
709	5117	2090
710	5125	2083
711	5131	2075
712	5138	2068
713	5145	2061
714	5153	2054
715	5159	2046
716	5165	2039
717	5172	2031
718	5179	2024
719	5187	2017
720	5193	2009
721	5200	2002
722	5207	1994
723	5212	1987
724	5219	1979
725	5226	1972
726	5232	1965
727	5239	1957
728	5245	1949
729	5252	1942
730	5259	1935
731	5266	1928
732	5273	1920
733	5279	1913
734	5286	1905
735	5292	1898
736	5299	1891
737	5305	1883
738	5312	1876
739	5318	1868
740	5324	1861
741	5331	1853
742	5338	1846
743	5344	1838
744	5351	1831
745	5357	1823
746	5363	1816
747	5370	1809
748	5376	1801
749	5383	1794
750	5389	1786
751	5396	1779
752	5404	1772
753	5412	1765
754	5420	1758
755	5427	1751
756	5434	1744
757	5443	1737
758	5450	1730
759	5457	1723
760	5464	1716
761	5471	1708
762	5478	1701
763	5485	1694
764	5493	1687
765	5501	1680
766	5509	1673
767	5517	1666
768	5524	1659
769	5531	1652
770	5538	1644
771	5545	1637
772	5552	1630
773	5560	1623
774	5567	1616
775	5574	1609
776	5581	1601
777	5588	1594
778	5594	1587
779	5602	1580
780	5609	1572
781	5615	1565
782	5623	1558
783	5629	1551
784	5637	1543
785	5643	1536
786	5650	1529
787	5657	1522
788	5665	1515
789	5672	1507
790	5679	1500
791	5685	1493
792	5691	1485
793	5698	1478
794	5705	1471
795	5712	1464
796	5719	1456
797	5725	1449
798	5732	1442
799	5739	1434
800	5745	1427
801	5752	1420
802	5759	1412
803	5766	1405
804	5773	1398
805	5779	1391
806	5786	1383
807	5794	1376
808	5802	1369
809	5809	1362
810	5816	1355
811	5824	1348
812	5832	1341
813	5838	1334
814	5845	1326
815	5852	1319
816	5858	1312
817	5865	1305
818	5873	1297
819	5881	1290
820	5887	1283
821	5895	1276
822	5902	1269
823	5910	1262
824	5918	1255
825	5927	1248
826	5933	1241
827	5940	1233
828	5947	1226
829	5953	1219
830	5960	1212
831	5968	1205
832	5975	1198
833	5982	1190
834	5989	1183
835	5996	1176
836	6003	1169
837	6010	1162
838	6018	1154
839	6024	1147
840	6031	1140
841	6037	1132
842	6045	1125
843	6052	1118
844	6059	1111
845	6065	1104
846	6071	1096
847	6079	1089
848	6086	1082
849	6093	1075
850	6100	1068
851	6106	1060
852	6112	1053
853	6118	1046
854	6126	1038
855	6134	1031
856	6142	1024
857	6149	1017
858	6157	1010
859	6164	1003
860	6171	996
861	6179	989
862	6186	982
863	6195	975
864	6202	968
865	6208	960
866	6216	953
867	6228	947
868	6236	940
869	6244	933
870	6253	926
871	6260	919
872	6267	911
873	6276	904
874	6283	897
875	6292	890
876	6301	883
877	6310	876
878	6318	869
879	6326	862
880	6333	855
881	6341	848
882	6348	841
883	6356	834
884	6364	827
885	6372	819
886	6378	812
887	6385	805
888	6392	798
889	6401	791
890	6407	783
891	6415	776
892	6423	769
893	6431	762
894	6439	755
895	6446	748
896	6454	741
897	6462	734
898	6470	726
899	6476	719
900	6483	712
901	6493	705
902	6501	698
903	6508	691
904	6517	684
905	6524	676
906	6533	669
907	6540	662
908	6547	655
909	6554	648
910	6562	641
911	6570	633
912	6578	626
913	6586	619
914	6592	612
915	6600	605
916	6607	598
917	6615	590
918	6622	583
919	6629	576
920	6636	569
921	6644	562
922	6652	554
923	6661	547
924	6668	540
925	6676	533
926	6684	526
927	6693	519
928	6704	512
929	6712	505
930	6719	498
931	6727	490
932	6735	483
933	6742	476
934	6750	469
935	6756	462
936	6765	454
937	6772	447
938	6779	440
939	6786	433
940	6792	425
941	6805	419
942	6813	411
943	6821	404
944	6831	397
945	6838	390
946	6846	383
947	6853	375
948	6859	368
949	6867	361
950	6875	354
951	6884	347
952	6892	339
953	6901	332
954	6908	325
955	6917	318
956	6924	311
957	6932	303
958	6939	296
959	6948	289
960	6954	282
961	6962	275
962	6970	267
963	6978	260
964	6986	253
965	6995	246
966	7003	239
967	7012	231
968	7019	224
969	7028	217
970	7035	210
971	7043	202
972	7050	195
973	7056	188
974	7064	181
975	7072	173
976	7079	166
977	7086	159
978	7094	152
979	7101	144
980	7109	137
981	7118	130
982	7125	123
983	7132	115
984	7140	108
985	7147	101
986	7155	94
987	7162	86
988	7170	79
989	7178	72
990	7186	65
991	7194	58
992	7202	50
993	7209	43
994	7218	36
995	7227	29
996	7235	21
997	7242	14
998	7249	7
999	7257	0
