iter	RMSE
428	35041.98182
429	35030.60719
430	35017.27815
431	35005.36408
432	34994.18833
433	34986.20932
434	34954.69786
435	34946.8532
436	34844.0006
437	34812.29635
438	34804.52168
439	34779.66272
440	34772.78979
441	34728.79549
442	34712.99784
443	34675.66491
444	34667.93028
445	34660.31459
446	34578.58615
447	34570.9678
448	34563.5326
449	34523.7931
450	34516.43008
451	34455.17411
452	34447.98532
453	34334.90959
454	34289.14202
455	34277.37692
456	34270.03667
457	34262.91068
458	34221.03932
459	34212.92484
460	34205.12609
461	34181.59121
462	34172.23671
463	34164.78395
464	34157.34673
465	34150.36
466	34047.3297
467	34040.15928
468	34010.27707
469	33996.77969
470	33989.82622
471	33860.96018
472	33802.25
473	33695.35878
474	33681.63079
475	33675.09739
476	33660.17559
477	33654.00846
478	33617.50472
479	33606.2186
480	33592.33944
481	33520.29787
482	33506.74558
483	33453.35393
484	33407.31655
485	33400.38742
486	33358.8036
487	33319.04354
488	33306.14739
489	33297.54858
490	33204.50044
491	33136.55058
492	33127.20015
493	33089.38346
494	33063.17371
495	33056.35258
496	33010.69182
497	32990.34882
498	32946.98868
499	32940.92573
500	32916.4538
501	32909.76441
502	32898.16405
503	32838.0815
504	32827.49713
505	32821.06423
506	32806.46214
507	32747.563
508	32741.45862
509	32732.0597
510	32657.57151
511	32588.27636
512	32554.38788
513	32516.50533
514	32489.01052
515	32482.44955
516	32451.16342
517	32444.86088
518	32432.53443
519	32426.04257
520	32420.45693
521	32386.07282
522	32286.05179
523	32258.86641
524	32204.41846
525	32141.39532
526	32121.33021
527	32069.93365
528	32034.44605
529	31924.08759
530	31917.63372
531	31884.12512
532	31837.71718
533	31831.56766
534	31776.28954
535	31760.47919
536	31754.46188
537	31744.59333
538	31738.63239
539	31724.83932
540	31693.9306
541	31679.37605
542	31622.22963
543	31596.15267
544	31579.67387
545	31533.82607
546	31467.14423
547	31432.7745
548	31421.27904
549	31389.77149
550	31383.56072
551	31331.3518
552	31269.96286
553	31253.03679
554	31246.92188
555	31241.22523
556	31232.19546
557	31223.93931
558	31218.22571
559	31202.7014
560	31188.12382
561	31179.61083
562	31173.6081
563	31082.75843
564	31076.77669
565	31071.57635
566	31065.69453
567	31059.85976
568	30981.95105
569	30904.72622
570	30898.8325
571	30886.71671
572	30797.07091
573	30791.57925
574	30719.10994
575	30713.64513
576	30695.51923
577	30690.61395
578	30684.92465
579	30671.16139
580	30652.60194
581	30643.66756
582	30638.03379
583	30573.42458
584	30542.24848
585	30536.60405
586	30517.65222
587	30506.01406
588	30500.48435
589	30486.22333
590	30480.72677
591	30475.67946
592	30470.57058
593	30460.18695
594	30399.43281
595	30386.20375
596	30378.09165
597	30315.36367
598	30259.74983
599	30246.3352
600	30207.95624
601	30177.74224
602	30172.19213
603	30166.72705
604	30157.52702
605	30152.17465
606	30143.66483
607	30138.71586
608	30133.44965
609	30122.31943
610	30117.07314
611	30111.58013
612	30074.72518
613	30064.42452
614	30054.32018
615	30049.15671
616	30027.71692
617	29958.41254
618	29914.97184
619	29909.71666
620	29901.37522
621	29881.28725
622	29815.95134
623	29811.00058
624	29728.44689
625	29723.18795
626	29701.81973
627	29687.18614
628	29679.14399
629	29665.70135
630	29655.24308
631	29645.9889
632	29581.33548
633	29576.20569
634	29571.14451
635	29566.56816
636	29525.12777
637	29508.43816
638	29501.24773
639	29449.56536
640	29436.70681
641	29425.21063
642	29420.24654
643	29415.34106
644	29401.67302
645	29394.46247
646	29389.6001
647	29354.56912
648	29334.69235
649	29327.03224
650	29322.42461
651	29272.05721
652	29267.24116
653	29262.43972
654	29258.09179
655	29251.45615
656	29246.72594
657	29242.27971
658	29193.29892
659	29184.47516
660	29179.76108
661	29161.49836
662	29133.54019
663	29120.28925
664	29112.73232
665	29100.03273
666	29056.79457
667	29044.93219
668	29040.23824
669	29008.38929
670	28998.17685
671	28990.64293
672	28985.96121
673	28948.22787
674	28925.05913
675	28920.41892
676	28914.06822
677	28909.46941
678	28864.09677
679	28859.51063
680	28854.95462
681	28845.85461
682	28838.06415
683	28830.06502
684	28825.58694
685	28769.05332
686	28756.93241
687	28752.73157
688	28748.3033
689	28739.81934
690	28699.70527
691	28695.28938
692	28669.41789
693	28657.88162
694	28632.01426
695	28625.51737
696	28616.57696
697	28605.31053
698	28601.16577
699	28594.3449
700	28563.92541
701	28559.56439
702	28555.4901
703	28551.19073
704	28540.14868
705	28491.28143
706	28486.86277
707	28476.12892
708	28472.10648
709	28467.83881
710	28457.92451
711	28453.68073
712	28422.56827
713	28414.18247
714	28409.93637
715	28406.01686
716	28374.29803
717	28320.65873
718	28310.82531
719	28259.8754
720	28254.14214
721	28244.02375
722	28237.5227
723	28233.32104
724	28229.16394
725	28225.3708
726	28213.28642
727	28203.55728
728	28199.75198
729	28195.64739
730	28192.36243
731	28178.8099
732	28143.95338
733	28137.67955
734	28131.78699
735	28046.09159
736	28027.45975
737	28015.57898
738	28011.41386
739	28000.64432
740	27944.03025
741	27939.86583
742	27925.29093
743	27921.20373
744	27915.43017
745	27867.17351
746	27860.38127
747	27838.76887
748	27790.43642
749	27775.0675
750	27750.02734
751	27746.36169
752	27702.05934
753	27661.38605
754	27611.5813
755	27601.10813
756	27596.61638
757	27577.11976
758	27567.55374
759	27563.76271
760	27560.13016
761	27550.76068
762	27546.83978
763	27541.38219
764	27537.76072
765	27508.10667
766	27500.82405
767	27496.85434
768	27450.7359
769	27447.05905
770	27439.47505
771	27434.15296
772	27407.80926
773	27404.01438
774	27352.0098
775	27345.29186
776	27336.26591
777	27306.01154
778	27302.34491
779	27294.34181
780	27287.22183
781	27283.31817
782	27279.22236
783	27273.40205
784	27269.89618
785	27266.27018
786	27254.69216
787	27215.67827
788	27207.19334
789	27196.12961
790	27192.8284
791	27189.45679
792	27185.93066
793	27160.99392
794	27153.69462
795	27147.41974
796	27138.62855
797	27135.53101
798	27126.07181
799	27122.68276
800	27081.60589
801	27021.3541
802	27018.16144
803	27014.75632
804	27007.74631
805	27004.38542
806	27001.07981
807	26997.79294
808	26989.79028
809	26984.8894
810	26978.18405
811	26931.71884
812	26928.02531
813	26924.4591
814	26910.04694
815	26906.0261
816	26897.79174
817	26850.51908
818	26844.70729
819	26829.68529
820	26825.75928
821	26810.87035
822	26798.95759
823	26795.12181
824	26788.13189
825	26784.45426
826	26781.24887
827	26774.62616
828	26771.17435
829	26763.34762
830	26753.05996
831	26749.82127
832	26744.26541
833	26693.32629
834	26689.81006
835	26686.84442
836	26666.76128
837	26663.6176
838	26654.65131
839	26647.63686
840	26630.39308
841	26619.6182
842	26610.763
843	26600.04717
844	26595.44563
845	26590.41845
846	26587.29051
847	26583.99942
848	26580.31834
849	26573.68135
850	26547.04336
851	26543.79608
852	26529.11075
853	26524.41773
854	26507.06188
855	26495.48303
856	26479.33115
857	26457.53693
858	26452.1669
859	26413.47602
860	26408.28871
861	26404.78918
862	26375.48369
863	26369.04248
864	26349.50239
865	26342.2497
866	26338.77003
867	26291.17053
868	26287.92172
869	26259.72886
870	26254.71657
871	26234.84328
872	26231.57631
873	26222.80889
874	26219.84068
875	26189.82125
876	26184.69109
877	26139.91898
878	26093.34135
879	26089.75545
880	26085.15833
881	26081.70288
882	26078.64887
883	26076.09639
884	26069.0797
885	26034.90349
886	26006.52293
887	25997.6842
888	25981.78813
889	25971.60568
890	25958.87056
891	25955.44676
892	25952.27516
893	25937.4035
894	25931.36436
895	25900.87635
896	25897.50234
897	25894.41413
898	25889.79687
899	25881.84519
900	25873.92981
901	25851.7476
902	25848.65141
903	25840.73871
904	25835.80132
905	25832.72219
906	25830.2296
907	25813.71296
908	25774.6889
909	25763.31245
910	25754.54356
911	25723.97574
912	25719.51736
913	25716.23553
914	25713.40327
915	25708.89969
916	25705.66734
917	25698.53029
918	25692.98788
919	25679.54591
920	25653.80004
921	25613.76806
922	25607.15139
923	25602.27347
924	25590.65429
925	25583.74304
926	25578.90567
927	25575.90413
928	25571.60773
929	25567.01014
930	25564.02309
931	25511.23523
932	25484.96757
933	25477.77104
934	25474.31932
935	25469.79353
936	25466.61783
937	25459.80721
938	25451.84175
939	25448.68547
940	25445.64902
941	25442.44616
942	25439.52075
943	25436.93229
944	25429.64853
945	25427.25579
946	25416.98065
947	25414.01627
948	25411.09714
949	25406.87536
950	25397.05804
951	25390.79351
952	25363.5943
953	25321.84105
954	25318.89309
955	25306.7217
956	25303.92961
957	25296.99345
958	25294.33715
959	25289.84211
960	25287.12161
961	25235.06753
962	25224.32167
963	25212.33172
964	25171.87301
965	25165.95431
966	25153.17979
967	25122.02446
968	25094.53399
969	25091.43914
970	25088.63643
971	25085.70346
972	25082.04376
973	25070.42952
974	25061.2876
975	25041.65466
976	25034.57609
977	25031.79659
978	25021.24588
979	25000.0326
980	24995.26443
981	24992.68717
982	24945.11196
983	24942.61818
984	24936.77419
985	24930.6496
986	24925.04149
987	24922.18239
988	24909.90956
989	24905.26912
990	24902.43536
991	24896.83369
992	24862.77403
993	24825.65361
994	24815.54867
995	24807.18982
996	24804.4125
997	24798.94425
998	24795.96922
999	24791.75814
