iter	Passed	Remaining
406	5604	13796
407	5616	13780
408	5628	13761
409	5640	13744
410	5653	13727
411	5665	13709
412	5677	13691
413	5689	13673
414	5701	13657
415	5714	13640
416	5726	13622
417	5738	13604
418	5750	13587
419	5763	13572
420	5776	13556
421	5789	13540
422	5801	13522
423	5813	13505
424	5826	13488
425	5838	13473
426	5851	13457
427	5864	13440
428	5875	13422
429	5888	13406
430	5900	13389
431	5913	13373
432	5926	13357
433	5939	13342
434	5951	13325
435	5964	13309
436	5976	13293
437	5989	13278
438	6001	13261
439	6014	13246
440	6027	13230
441	6040	13214
442	6054	13201
443	6067	13186
444	6079	13170
445	6092	13153
446	6104	13138
447	6117	13122
448	6130	13107
449	6143	13093
450	6156	13077
451	6169	13062
452	6182	13047
453	6195	13031
454	6207	13016
455	6221	13001
456	6233	12985
457	6246	12969
458	6259	12954
459	6272	12939
460	6285	12924
461	6297	12908
462	6310	12893
463	6324	12879
464	6336	12864
465	6350	12851
466	6364	12837
467	6378	12824
468	6391	12810
469	6404	12795
470	6417	12780
471	6430	12765
472	6443	12751
473	6456	12736
474	6470	12722
475	6483	12707
476	6495	12691
477	6508	12676
478	6520	12660
479	6547	12671
480	6560	12657
481	6573	12642
482	6586	12626
483	6598	12610
484	6611	12596
485	6624	12580
486	6637	12566
487	6650	12551
488	6663	12537
489	6676	12522
490	6690	12508
491	6703	12494
492	6716	12479
493	6729	12464
494	6741	12447
495	6753	12431
496	6766	12417
497	6782	12406
498	6796	12394
499	6810	12381
500	6823	12367
501	6837	12353
502	6849	12337
503	6862	12322
504	6875	12307
505	6887	12291
506	6900	12276
507	6912	12260
508	6925	12245
509	6938	12230
510	6950	12214
511	6963	12198
512	6976	12185
513	6989	12169
514	7002	12155
515	7014	12139
516	7027	12124
517	7040	12110
518	7053	12095
519	7066	12081
520	7080	12067
521	7092	12052
522	7105	12037
523	7118	12022
524	7131	12007
525	7144	11993
526	7157	11978
527	7169	11963
528	7183	11949
529	7196	11934
530	7209	11920
531	7223	11907
532	7236	11893
533	7250	11880
534	7263	11866
535	7277	11852
536	7289	11837
537	7302	11822
538	7317	11810
539	7330	11797
540	7343	11782
541	7356	11767
542	7369	11753
543	7383	11740
544	7396	11725
545	7409	11710
546	7422	11697
547	7435	11682
548	7449	11668
549	7462	11654
550	7475	11640
551	7488	11626
552	7502	11612
553	7515	11598
554	7528	11585
555	7541	11570
556	7554	11555
557	7567	11540
558	7580	11526
559	7593	11512
560	7606	11497
561	7620	11484
562	7633	11470
563	7646	11456
564	7662	11446
565	7676	11433
566	7690	11420
567	7705	11408
568	7719	11396
569	7734	11384
570	7749	11373
571	7763	11359
572	7777	11347
573	7791	11334
574	7805	11321
575	7820	11309
576	7833	11295
577	7848	11284
578	7862	11270
579	7875	11256
580	7888	11242
581	7902	11229
582	7916	11216
583	7929	11202
584	7943	11189
585	7956	11174
586	7971	11163
587	7986	11151
588	7999	11136
589	8013	11124
590	8028	11111
591	8041	11097
592	8055	11084
593	8069	11071
